date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:18:39	16103/16103	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2019:48:39%20GMT	https://mathieublok.co/	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/index.html	(from )
01:18:39	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202020%2019:48:38%20GMT	https://mathieublok.co/robots.txt		(from )
01:18:39	23247/23247	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Jun%202020%2013:17:30%20GMT	https://mathieublok.co/css/style.css	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/css/style.css	(from https://mathieublok.co/)
01:18:39	2236/2236	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Jun%202020%2013:02:30%20GMT	https://mathieublok.co/css/reset.css	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/css/reset.css	(from https://mathieublok.co/)
01:18:40	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Mon,%2015%20Jun%202020%2013:02:30%20GMT	https://mathieublok.co/assets/img/favicon.ico	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/favicon.ico	(from https://mathieublok.co/)
01:18:40	52/52	---M--	302	error ('Found')	text/plain	date:Mon,%2029%20Jun%202020%2019:48:40%20GMT	https://unpkg.com/aos@next/dist/aos.css	C:/Users/hp/Desktop/website%20collection/Portfolio/unpkg.com/aos@next/dist/aos.3.delayed	(from https://mathieublok.co/)
01:18:40	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/Users/hp/Desktop/website%20collection/Portfolio/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://mathieublok.co/)
01:18:41	58129/58129	---MCZ	200	added ('OK')	text/css	etag:W/%225cf6f82d-e311%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	C:/Users/hp/Desktop/website%20collection/Portfolio/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	(from https://mathieublok.co/)
01:18:42	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/hp/Desktop/website%20collection/Portfolio/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://mathieublok.co/)
01:18:42	51/51	---M--	302	error ('Found')	text/plain	date:Mon,%2029%20Jun%202020%2019:48:43%20GMT	https://unpkg.com/aos@next/dist/aos.js	C:/Users/hp/Desktop/website%20collection/Portfolio/unpkg.com/aos@next/dist/aos.7.delayed	(from https://mathieublok.co/)
01:18:43	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%2235e8-44lQwbzmXp8EjjBbNWf/kKDJI+M%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.js	C:/Users/hp/Desktop/website%20collection/Portfolio/unpkg.com/aos@3.0.0-beta.6/dist/aos.js	(from https://mathieublok.co/)
01:18:43	1421/1421	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2015%20Jun%202020%2013:02:30%20GMT	https://mathieublok.co/js/script.js	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/js/script.js	(from https://mathieublok.co/)
01:18:44	5323/5323	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2019:48:44%20GMT	https://mathieublok.co/project-geodia.php	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/project-geodia.html	(from https://mathieublok.co/)
01:18:44	122760/122760	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jun%202020%2013:02:31%20GMT	https://mathieublok.co/assets/img/header/circle.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/header/circle.png	(from https://mathieublok.co/)
01:18:45	4272/4272	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2019:48:45%20GMT	https://mathieublok.co/project-xaalys.php	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/project-xaalys.html	(from https://mathieublok.co/)
01:18:45	4550/4550	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2019:48:45%20GMT	https://mathieublok.co/project-nutergia.php	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/project-nutergia.html	(from https://mathieublok.co/)
